model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 S3,2017,23990,Manual,12500,Petrol,145,39.8,2.0
 Q3,2017,19990,Manual,20000,Petrol,145,49.6,1.4
 Q3,2017,20750,Automatic,25000,Petrol,145,42.8,2.0
 A6,2017,18000,Automatic,47887,Diesel,20,64.2,2.0
 Q2,2017,18650,Manual,24000,Diesel,30,61.4,1.6
 Q3,2018,20844,Manual,9600,Diesel,145,56.5,2.0
 SQ7,2017,44444,Automatic,20761,Diesel,145,39.2,4.0
 A1,2017,13950,Manual,9148,Petrol,150,56.5,1.4
 A4,2018,18350,Manual,8940,Petrol,145,52.3,1.4
 A6,2016,19444,Automatic,52000,Diesel,145,56.5,2.0
 A3,2017,17888,Manual,24000,Petrol,145,49.6,2.0
 A1,2016,14444,Automatic,21000,Petrol,30,58.9,1.4
 A3,2014,12490,Manual,42000,Diesel,0,74.3,1.6
 RS6,2015,44944,Automatic,35000,Petrol,325,29.4,4.0
 Q3,2017,19990,Manual,14752,Petrol,150,49.6,1.4
 Q7,2018,40444,Automatic,48700,Diesel,150,32.8,3.0
 A1,2017,16222,Manual,17244,Petrol,145,56.5,1.4
 A3,2014,12750,Manual,50143,Diesel,20,68.9,2.0
 A3,2017,22500,Automatic,10891,Diesel,145,57.7,2.0
 SQ7,2016,45990,Automatic,25514,Diesel,300,39.2,4.0
 A6,2015,24450,Automatic,31224,Diesel,160,50.4,3.0
 A3,2017,20990,Automatic,31376,Diesel,125,57.7,2.0
 A3,2016,15444,Manual,29500,Petrol,30,57.6,1.4
 SQ7,2017,47990,Automatic,42000,Diesel,300,39.2,4.0
 Q3,2016,18500,Automatic,33393,Petrol,145,47.9,1.4
 Q3,2016,20250,Manual,16978,Diesel,160,49.6,2.0
 Q3,2017,18350,Automatic,31000,Petrol,145,47.9,1.4
 Q3,2017,21990,Automatic,13619,Petrol,145,47.9,1.4
 A6,2015,15990,Automatic,41800,Diesel,20,67.3,2.0
 A3,2017,19888,Automatic,24000,Petrol,30,56.5,1.4
 A5,2018,23444,Manual,5300,Petrol,145,48.7,2.0
 A1,2016,13650,Automatic,35500,Petrol,30,56.5,1.4
 Q3,2015,16450,Manual,37182,Diesel,160,49.6,2.0
 Q3,2017,16950,Manual,30770,Petrol,125,51.4,1.4
 A3,2016,11950,Manual,41502,Diesel,0,74.3,1.6
 Q3,2017,21000,Automatic,19000,Petrol,145,47.9,1.4
 Q3,2015,17750,Manual,32850,Diesel,160,49.6,2.0
 Q3,2017,25500,Automatic,21090,Petrol,145,40.4,2.0
 Q3,2016,17650,Automatic,49841,Diesel,160,50.4,2.0
 A3,2014,11650,Manual,22014,Petrol,145,48.7,1.8
 A5,2016,16750,Automatic,48000,Diesel,160,52.3,2.0
 A4,2014,14950,Automatic,33894,Diesel,200,47.1,0.0
 A3,2017,15990,Manual,8600,Petrol,145,60.1,1.4
 R8,2014,58450,Automatic,35000,Petrol,570,21.9,5.2
 SQ5,2017,38950,Automatic,24575,Petrol,145,34.0,3.0
 A3,2018,19450,Manual,7900,Petrol,145,47.1,1.0
 RS6,2017,61700,Automatic,22558,Petrol,145,29.4,4.0
 A5,2018,24700,Manual,10559,Diesel,145,64.2,2.0
 Q5,2013,19990,Manual,26996,Petrol,235,37.7,2.0
 A4,2016,14444,Automatic,28325,Diesel,0,72.4,2.0
 A6,2016,19450,Automatic,28884,Diesel,30,61.4,2.0
 A4,2017,19000,Manual,21000,Diesel,150,64.2,2.0
 RS4,2018,50888,Automatic,12500,Petrol,145,32.1,2.9
 A4,2017,25000,Automatic,29111,Diesel,145,54.3,3.0
 A5,2015,16990,Automatic,43828,Diesel,145,53.3,2.0
 Q5,2016,19990,Manual,47505,Diesel,200,47.9,2.0
 A4,2015,16000,Automatic,35000,Diesel,30,67.3,2.0
 A5,2016,17990,Manual,33747,Diesel,125,57.6,2.0
 A4,2017,15990,Manual,36700,Diesel,145,72.4,2.0
 A5,2012,8499,Automatic,70000,Diesel,125,58.9,2.0
 A6,2003,2495,Automatic,117000,Diesel,290,39.8,2.5
 A3,2012,12595,Manual,41000,Diesel,30,64.2,2.0
 A3,2016,18990,Automatic,29047,Diesel,125,57.6,2.0
 Q3,2017,24990,Automatic,13250,Petrol,145,40.4,2.0
 A3,2015,14500,Automatic,46181,Diesel,30,61.4,2.0
 A3,2016,13490,Manual,38738,Petrol,20,60.1,1.4
 A4,2017,14500,Manual,27622,Petrol,125,53.3,1.4
 Q3,2015,14990,Manual,55000,Diesel,145,52.3,2.0
 SQ5,2017,36990,Automatic,22216,Petrol,145,34.0,3.0
 Q3,2015,12990,Manual,69072,Diesel,125,60.1,2.0
 TT,2016,17900,Manual,27203,Petrol,165,46.3,1.8
 A3,2014,8291,Manual,79283,Diesel,20,68.9,2.0
 A3,2016,8490,Manual,95856,Diesel,0,83.1,1.6
 A4,2015,9690,Manual,80950,Diesel,30,64.2,2.0
 A3,2016,11477,Manual,28000,Diesel,0,83.1,1.6
 A3,2017,13977,Semi-Auto,57000,Diesel,145,72.4,1.6
 TT,2009,5995,Manual,77000,Petrol,300,36.2,2.0
 Q5,2016,21500,Automatic,26500,Diesel,200,47.1,2.0
 A1,2015,11000,Manual,45551,Diesel,0,80.7,1.6
 Q7,2014,19995,Automatic,66000,Diesel,300,38.2,3.0
 Q5,2012,15999,Automatic,50000,Diesel,195,47.1,2.0
 A6,2016,16744,Manual,47796,Diesel,30,61.4,2.0
 Q5,2018,27442,Semi-Auto,24000,Diesel,145,56.5,2.0
 A4,2018,27992,Semi-Auto,17098,Petrol,145,42.8,2.0
 A1,2017,16750,Manual,22069,Petrol,200,40.4,2.0
 A6,2016,16450,Manual,34000,Diesel,30,64.2,2.0
 A4,2018,20950,Manual,13412,Petrol,145,51.4,1.4
 S3,2017,25450,Manual,21000,Petrol,145,39.8,2.0
 A1,2016,12990,Manual,27000,Petrol,30,55.4,1.4
 A1,2018,10990,Manual,61012,Diesel,150,76.4,1.6
 A5,2014,12743,Automatic,58953,Diesel,125,58.9,2.0
 A3,2016,12950,Manual,27519,Diesel,20,70.6,1.6
 A1,2016,12450,Manual,32000,Petrol,30,56.5,1.4
 A1,2016,12950,Manual,23100,Petrol,30,55.4,1.4
 A3,2018,22450,Automatic,22494,Diesel,150,56.5,2.0
 A4,2017,14800,Manual,45500,Diesel,20,68.9,2.0
 A3,2005,1975,Manual,104000,Petrol,240,38.1,2.0
 SQ5,2015,23195,Automatic,37306,Diesel,265,41.5,3.0
 A3,2017,13990,Manual,11800,Diesel,145,70.6,2.0
 A3,2014,11490,Manual,58409,Petrol,125,53.3,1.4
 A1,2015,10490,Manual,42347,Diesel,0,74.3,1.6
 A4,2016,10990,Manual,57395,Petrol,125,53.3,1.4
 A3,2016,15714,Manual,38670,Diesel,125,57.6,2.0
 Q5,2012,13590,Manual,40316,Diesel,200,43.5,2.0
 A3,2015,10977,Manual,60000,Diesel,20,68.9,2.0
 Q3,2013,11477,Manual,73000,Diesel,145,54.3,2.0
 Q5,2011,10760,Automatic,92600,Diesel,265,40.4,2.0
 Q5,2014,16990,Automatic,42427,Diesel,200,47.1,2.0
 A3,2013,8490,Manual,59305,Diesel,20,67.3,2.0
 A4,2018,18990,Manual,18867,Diesel,145,62.8,2.0
 A1,2015,10390,Manual,20639,Petrol,0,67.3,1.0
 A6,2014,12490,Manual,38854,Diesel,30,62.8,2.0
 Q3,2014,10990,Manual,62926,Diesel,160,49.6,2.0
 Q5,2017,27995,Automatic,14475,Diesel,145,40.4,2.0
 S3,2015,19990,Automatic,37150,Petrol,200,39.8,2.0
 A7,2014,19975,Automatic,58732,Diesel,235,44.8,3.0
 A6,2016,18275,Semi-Auto,64919,Diesel,125,58.9,2.0
 A3,2015,13995,Manual,41354,Petrol,125,52.3,1.4
 Q2,2018,18495,Manual,18554,Diesel,145,74.3,1.6
 A1,2016,12800,Automatic,8764,Petrol,30,57.6,1.4
 A4,2017,21000,Automatic,11750,Petrol,145,49.6,1.4
 A1,2013,10500,Automatic,24913,Petrol,20,60.1,1.4
 Q3,2017,17000,Manual,31638,Petrol,125,51.4,1.4
 A3,2016,10495,Manual,59800,Diesel,0,74.3,1.6
 A3,2015,10995,Manual,94806,Diesel,30,65.7,2.0
 A4,2014,13975,Manual,36790,Diesel,30,61.4,2.0
 Q7,2014,21975,Automatic,47522,Diesel,300,38.2,3.0
 A3,2015,13975,Semi-Auto,66269,Diesel,125,57.6,2.0
 A3,2015,13775,Semi-Auto,34987,Petrol,20,60.1,1.4
 A3,2014,9795,Manual,91395,Diesel,20,68.9,2.0
 Q5,2016,19950,Manual,32673,Diesel,200,47.9,2.0
 A1,2017,11175,Manual,37746,Petrol,30,55.4,1.4
 A1,2016,11350,Manual,27673,Petrol,0,67.3,1.0
 A1,2018,14000,Manual,20521,Petrol,150,47.9,1.0
 A5,2015,16700,Automatic,45104,Diesel,125,58.9,0.0
 A5,2016,19000,Manual,26237,Diesel,150,56.5,0.0
 Q3,2017,19300,Manual,16051,Diesel,150,52.3,0.0
 A1,2015,10995,Manual,27897,Petrol,30,55.4,1.4
 A5,2016,16475,Manual,30748,Diesel,145,54.3,2.0
 A3,2016,15300,Manual,15011,Petrol,20,60.1,1.4
 A3,2016,16800,Manual,31524,Petrol,30,60.1,1.4
 A6,2016,18600,Manual,29486,Diesel,30,61.4,2.0
 A1,2018,12950,Manual,19500,Petrol,150,57.7,1.4
 A6,2018,59950,Automatic,22000,Petrol,145,29.4,4.0
 A4,2008,4495,Manual,146604,Diesel,160,51.4,2.0
 A4,2017,15250,Manual,27578,Petrol,145,51.4,1.4
 A4,2016,15990,Automatic,41000,Diesel,20,67.3,2.0
 A4,2017,18500,Automatic,25782,Diesel,145,72.4,2.0
 A3,2012,7150,Manual,49000,Petrol,145,47.1,1.6
 A1,2017,15990,Manual,16400,Petrol,30,56.5,1.4
 A3,2013,11995,Manual,59451,Diesel,20,67.3,2.0
 A6,2016,15995,Manual,43404,Diesel,30,64.2,2.0
 A1,2017,11000,Manual,27153,Petrol,0,67.3,1.0
 A3,2015,10500,Manual,27426,Diesel,0,74.3,1.6
 A5,2015,13500,Manual,33430,Diesel,30,60.1,2.0
 A1,2016,13600,Manual,28595,Petrol,30,55.4,1.4
 TT,2016,22500,Automatic,45182,Petrol,200,40.9,0.0
 Q3,2017,20000,Automatic,21981,Petrol,145,47.9,1.4
 A5,2015,18300,Automatic,29084,Diesel,235,42.8,3.0
 A3,2016,18300,Manual,55321,Petrol,200,40.4,0.0
 A3,2016,15000,Manual,41047,Diesel,30,65.7,2.0
 A3,2016,12500,Manual,37998,Diesel,20,70.6,1.6
 Q7,2013,19950,Automatic,79000,Diesel,300,38.2,3.0
 Q3,2017,22000,Automatic,18000,Petrol,150,42.2,2.0
 Q3,2017,16500,Manual,27500,Petrol,150,51.4,1.4
 A3,2017,13790,Manual,47041,Diesel,20,65.7,2.0
 Q5,2014,17775,Automatic,96753,Diesel,265,41.5,3.0
 A6,2016,19395,Semi-Auto,27764,Diesel,30,61.4,2.0
 Q3,2013,8975,Manual,77120,Diesel,150,54.3,2.0
 A1,2016,11000,Manual,39151,Diesel,0,76.3,1.6
 A5,2013,11500,Manual,46197,Diesel,30,61.4,2.0
 A1,2016,14000,Automatic,12942,Diesel,20,72.4,1.6
 Q3,2016,18600,Manual,26325,Diesel,150,52.3,2.0
 A3,2017,14000,Manual,34668,Diesel,150,68.9,1.6
 A3,2016,16600,Manual,16793,Diesel,20,65.7,2.0
 A6,2011,8950,Automatic,116000,Diesel,200,47.1,3.0
 RS5,2015,25950,Automatic,66000,Petrol,555,26.9,4.2
 A4,2018,18750,Manual,14000,Petrol,145,51.4,1.4
 A6,2017,21000,Semi-Auto,44000,Diesel,145,61.4,2.0
 S3,2014,17500,Semi-Auto,63000,Petrol,200,40.9,2.0
 A4,2016,15990,Semi-Auto,82000,Diesel,30,62.8,2.0
 A3,2014,13700,Manual,49000,Petrol,20,60.1,1.4
 A4,2016,14950,Manual,22000,Petrol,145,51.4,1.4
 TT,2011,10250,Manual,80000,Diesel,145,53.3,2.0
 Q3,2017,16000,Manual,41381,Petrol,125,51.4,1.4
 Q3,2017,18000,Manual,21000,Diesel,150,57.7,2.0
 A6,2016,18990,Automatic,41000,Diesel,30,61.4,2.0
 Q2,2017,24500,Automatic,10681,Petrol,150,44.8,2.0
 A6,2018,22000,Automatic,16000,Petrol,150,42.2,2.0
 S3,2016,21950,Automatic,60000,Petrol,205,40.9,2.0
 A1,2015,11850,Manual,41000,Petrol,30,55.4,1.4
 A3,2011,6500,Manual,74000,Diesel,20,68.9,1.6
 A1,2013,8990,Manual,70000,Diesel,0,74.3,1.6
 A4,2016,13750,Manual,47000,Diesel,20,72.4,2.0
 A1,2016,11250,Manual,23000,Petrol,0,67.3,1.0
 A1,2018,13500,Manual,16000,Petrol,150,67.3,1.0
 A4,2016,15999,Automatic,56000,Diesel,30,67.3,2.0
 A3,2016,14250,Manual,46000,Petrol,20,60.1,1.4
 A3,2016,12990,Manual,51000,Diesel,20,72.4,1.6
 A6,2017,19990,Automatic,29000,Diesel,145,61.4,2.0
 A3,2016,20990,Automatic,40000,Petrol,160,44.1,2.0
 A3,2015,10490,Manual,43000,Petrol,30,58.9,1.4
 A1,2016,8490,Manual,27000,Petrol,0,67.3,1.0
 A3,2015,6990,Manual,84000,Diesel,20,68.9,2.0
 A1,2014,6490,Manual,80000,Diesel,20,68.9,2.0
 A4,2016,11490,Automatic,54000,Diesel,0,72.4,2.0
 A1,2016,10800,Manual,46000,Petrol,0,67.3,1.0
 A1,2015,12990,Manual,21000,Petrol,30,55.4,1.4
 A3,2015,9400,Manual,66000,Diesel,20,68.9,2.0
 A4,2016,15490,Manual,31000,Diesel,30,64.2,2.0
 A4,2017,17999,Manual,17000,Petrol,145,51.4,1.4
 A4,2016,14850,Manual,49000,Diesel,30,64.2,2.0
 A1,2015,11700,Manual,16000,Petrol,30,55.4,1.4
 A4,2016,12990,Manual,45000,Diesel,0,74.3,2.0
 A4,2014,9990,Manual,77000,Diesel,30,62.8,2.0
 Q3,2016,13490,Manual,32000,Diesel,30,61.4,2.0
 A7,2014,16990,Automatic,57000,Diesel,200,48.7,3.0
 A8,2016,17990,Automatic,70000,Diesel,200,47.9,3.0
 A4,2017,18990,Automatic,60000,Diesel,145,64.2,2.0
 A6,2017,17990,Manual,30000,Diesel,145,61.4,2.0
 Q5,2015,19990,Automatic,43000,Diesel,200,45.6,3.0
 A1,2015,7490,Manual,37000,Diesel,0,80.7,1.6
 A3,2015,11990,Automatic,43000,Petrol,20,60.1,1.4
 A7,2015,21990,Manual,47000,Diesel,160,52.3,3.0
 A3,2017,16490,Manual,24000,Diesel,30,67.3,1.6
 A6,2015,13990,Manual,25000,Diesel,30,65.7,2.0
 TT,2016,16490,Manual,25000,Diesel,30,62.8,2.0
 A5,2015,15490,Automatic,50000,Diesel,145,54.3,2.0
 A3,2015,8490,Manual,40000,Diesel,20,68.9,2.0
 A3,2015,8990,Manual,42000,Diesel,20,68.9,2.0
 Q5,2015,14990,Manual,55000,Diesel,200,47.9,2.0
 A6,2014,14490,Automatic,63000,Diesel,200,47.9,3.0
 A4,2013,6990,Automatic,89000,Diesel,125,58.9,2.0
 A1,2014,5990,Manual,78000,Diesel,0,74.3,1.6
 A6,2016,19990,Automatic,42000,Diesel,145,54.3,3.0
 A4,2016,13490,Manual,49000,Diesel,0,74.3,2.0
 A1,2017,8490,Manual,63000,Diesel,145,76.3,1.6
 A3,2016,10490,Manual,33000,Diesel,20,70.6,1.6
 TT,2016,17490,Manual,19000,Petrol,145,47.1,1.8
 A6,2013,12750,Manual,70000,Diesel,125,57.6,2.0
 A4,2017,13990,Manual,60000,Diesel,145,68.9,2.0
 A1,2012,5990,Manual,80000,Diesel,0,74.3,1.6
 A7,2015,16990,Automatic,31000,Diesel,125,58.9,3.0
 A5,2015,15990,Manual,31000,Diesel,125,57.6,2.0
 TT,2015,16490,Manual,33000,Petrol,145,47.1,2.0
 A3,2016,15490,Automatic,42000,Petrol,30,58.9,1.4
 A4,2013,7990,Automatic,81000,Diesel,125,58.9,2.0
 A1,2015,9990,Manual,38000,Diesel,0,80.7,1.6
 A1,2016,8490,Manual,29000,Diesel,0,76.3,1.6
 A6,2015,10990,Manual,70000,Diesel,30,65.7,2.0
 A3,2015,11990,Manual,51000,Diesel,30,67.3,1.6
 A5,2017,17490,Manual,28000,Diesel,145,67.3,2.0
 A6,2016,14490,Automatic,68000,Diesel,20,64.2,2.0
 A5,2015,13990,Manual,55000,Diesel,145,53.3,2.0
 TT,2015,16490,Automatic,46000,Petrol,160,44.1,2.0
 Q3,2014,10490,Manual,47000,Diesel,160,49.6,2.0
 A1,2016,8990,Manual,24000,Petrol,30,57.6,1.4
 A4,2012,6990,Automatic,87000,Petrol,145,47.1,2.0
 TT,2015,17490,Automatic,25000,Petrol,200,42.8,2.0
 A3,2010,4990,Manual,94000,Petrol,200,40.9,1.6
 A3,2014,7490,Manual,44000,Diesel,0,74.3,1.6
 A4,2014,11490,Manual,52000,Diesel,30,61.4,2.0
 A3,2015,13990,Manual,39000,Petrol,30,57.6,1.4
 A1,2015,9490,Manual,35000,Petrol,30,56.5,1.4
 A1,2013,6490,Manual,69000,Diesel,0,74.3,1.6
 A4,2014,9499,Manual,49792,Diesel,30,64.2,2.0
 A1,2016,11990,Manual,43000,Petrol,30,58.9,1.4
 TT,2016,11990,Manual,83000,Diesel,30,62.8,2.0
 A3,2015,12490,Manual,59000,Diesel,20,67.3,2.0
 A4,2016,11990,Manual,70000,Diesel,20,70.6,2.0
 A6,2016,16990,Automatic,34000,Diesel,30,61.4,2.0
 Q3,2016,16449,Automatic,23855,Petrol,145,47.9,1.4
 A5,2013,16999,Automatic,48437,Petrol,300,34.9,3.0
 A1,2016,13999,Automatic,10104,Petrol,30,57.6,1.4
 A3,2016,10399,Manual,67277,Diesel,0,74.3,1.6
 A5,2014,12850,Manual,95000,Diesel,30,61.4,2.0
 A4,2012,9500,Manual,62000,Diesel,30,65.7,2.0
 Q7,2015,20990,Automatic,74000,Diesel,300,38.2,3.0
 A3,2015,19990,Automatic,31000,Petrol,200,40.4,2.0
 A4,2016,15674,Manual,24828,Petrol,125,49.6,2.0
 Q5,2016,19975,Automatic,29808,Diesel,200,47.1,2.0
 A1,2015,12096,Manual,28974,Petrol,30,56.5,1.4
 Q2,2017,18860,Manual,12343,Petrol,145,50.4,1.4
 A6,2016,18999,Automatic,35784,Diesel,30,61.4,3.0
 A6,2016,19999,Automatic,33881,Diesel,30,61.4,2.0
 A5,2018,22999,Automatic,11744,Diesel,145,61.4,2.0
 Q3,2016,15999,Manual,33439,Diesel,30,62.8,2.0
 A1,2016,9799,Manual,56637,Diesel,0,76.3,1.6
 A6,2017,19999,Automatic,46317,Diesel,145,58.9,2.0
 A4,2017,16321,Automatic,31209,Diesel,145,70.6,2.0
 A3,2016,13499,Manual,26203,Petrol,20,60.1,1.0
 Q3,2016,14749,Manual,69629,Diesel,30,60.1,2.0
 A1,2015,11225,Automatic,37553,Petrol,30,57.6,1.4
 A6,2016,17336,Automatic,62118,Diesel,145,56.5,2.0
 A4,2017,16036,Automatic,41982,Diesel,145,70.6,2.0
 A1,2017,17935,Manual,36472,Petrol,145,40.4,2.0
 A3,2015,10990,Automatic,70000,Petrol,30,57.6,1.4
 A3,2015,6990,Manual,79000,Diesel,20,70.6,1.6
 A3,2015,8990,Manual,49000,Diesel,0,83.1,1.6
 A5,2013,12490,Automatic,54000,Petrol,160,39.2,2.0
 Q7,2013,19990,Automatic,48000,Diesel,300,38.2,3.0
 Q7,2016,28990,Automatic,53000,Diesel,200,47.9,3.0
 A3,2015,10990,Manual,37000,Diesel,0,74.3,1.6
 A1,2015,11217,Manual,54802,Petrol,30,55.4,1.4
 A3,2014,9284,Manual,52561,Diesel,20,68.9,2.0
 TT,2016,14919,Manual,37352,Diesel,30,62.8,2.0
 A4,2016,18303,Automatic,31817,Diesel,30,65.7,2.0
 A1,2017,11842,Manual,41427,Diesel,0,76.3,1.6
 A4,2016,12454,Manual,27403,Petrol,125,53.3,1.4
 A1,2012,8999,Manual,40572,Petrol,125,53.3,1.4
 Q3,2017,22249,Automatic,21236,Petrol,200,42.2,2.0
 Q3,2017,16449,Manual,33952,Petrol,125,51.4,1.4
 Q3,2017,17499,Automatic,34692,Petrol,145,47.9,1.4
 Q5,2014,21500,Automatic,57924,Diesel,260,41.5,3.0
 A3,2015,19999,Automatic,26670,Petrol,200,40.9,2.0
 Q3,2017,15749,Manual,41767,Petrol,145,51.4,1.4
 A5,2017,17599,Manual,44934,Diesel,30,67.3,2.0
 A3,2014,11137,Manual,55000,Diesel,20,68.9,2.0
 A1,2017,11551,Manual,23078,Petrol,145,57.6,1.4
 TT,2015,14990,Manual,36000,Diesel,20,67.3,2.0
 A3,2014,9990,Manual,49000,Diesel,20,68.9,2.0
 Q7,2012,14990,Automatic,87000,Diesel,300,38.2,3.0
 A3,2017,17999,Automatic,36521,Diesel,145,62.8,2.0
 A6,2012,9399,Automatic,84765,Diesel,145,56.5,2.0
 A1,2015,10299,Manual,31239,Diesel,0,80.7,1.6
 A5,2014,14939,Automatic,61346,Diesel,160,49.6,3.0
 A4,2016,14500,Manual,25634,Petrol,145,51.4,1.4
 A4,2016,16500,Manual,30000,Diesel,20,70.6,2.0
 TT,2012,10950,Manual,45000,Diesel,145,53.3,2.0
 A4,2017,16750,Manual,10000,Petrol,145,52.3,1.4
 A1,2017,14950,Manual,11000,Petrol,30,58.9,1.4
 A4,2015,11899,Manual,35762,Diesel,30,65.7,2.0
 A3,2015,11499,Automatic,29098,Diesel,20,70.6,1.6
 Q3,2016,14449,Manual,23484,Diesel,30,61.4,2.0
 A3,2017,16499,Manual,21865,Petrol,30,58.9,1.4
 A3,2016,9712,Manual,60901,Diesel,20,68.9,2.0
 A6,2016,20500,Automatic,26704,Diesel,30,61.4,2.0
 A1,2017,11999,Manual,23221,Petrol,0,67.3,1.0
 A3,2017,17299,Manual,17982,Petrol,145,58.9,1.4
 A3,2016,8490,Manual,80000,Diesel,30,67.3,2.0
 A4,2012,7990,Manual,88000,Diesel,30,62.8,2.0
 A5,2014,9990,Automatic,88000,Diesel,125,58.9,2.0
 A5,2014,11990,Manual,48000,Diesel,125,57.6,2.0
 Q3,2014,9990,Manual,58000,Diesel,145,54.3,2.0
 A1,2015,7990,Manual,31000,Diesel,0,80.7,1.6
 A4,2016,11990,Manual,36000,Petrol,145,51.4,1.4
 Q3,2016,18000,Automatic,33124,Diesel,160,50.4,2.0
 A4,2008,4350,Manual,91748,Diesel,160,51.4,2.0
 A3,2016,12300,Automatic,48097,Petrol,30,58.9,1.4
 TT,2015,14900,Manual,34889,Diesel,30,62.8,2.0
 A3,2017,13500,Manual,30579,Diesel,145,70.6,1.6
 A3,2018,18400,Automatic,16478,Petrol,145,56.5,1.5
 A1,2016,9705,Manual,49347,Petrol,30,55.4,1.4
 A5,2015,14999,Automatic,57141,Diesel,125,58.9,2.0
 A6,2013,11299,Automatic,87567,Diesel,145,56.5,2.0
 Q2,2018,22999,Automatic,12210,Petrol,145,52.3,1.4
 TT,2017,17499,Manual,20153,Diesel,30,62.8,2.0
 Q3,2013,11699,Manual,36954,Diesel,145,54.3,2.0
 A7,2013,14899,Automatic,75775,Diesel,200,47.9,3.0
 TT,2016,16499,Manual,44871,Diesel,30,62.8,2.0
 A4,2015,12499,Manual,31879,Diesel,30,65.7,2.0
 A1,2016,11601,Manual,36278,Petrol,30,56.5,1.4
 A4,2013,9399,Manual,48261,Diesel,30,64.2,2.0
 Q5,2016,19899,Automatic,46113,Diesel,200,47.1,2.0
 Q2,2016,16599,Manual,19019,Petrol,125,52.3,1.4
 Q7,2015,30999,Automatic,30296,Diesel,200,47.9,3.0
 A3,2016,11949,Manual,38004,Diesel,20,68.9,2.0
 A4,2016,16499,Manual,28669,Diesel,0,74.3,2.0
 A3,2016,22000,Automatic,17008,Petrol,200,40.9,2.0
 A1,2017,12300,Manual,22110,Petrol,30,55.4,1.4
 A3,2015,10800,Manual,52146,Diesel,0,83.1,1.6
 A1,2015,13300,Manual,34176,Petrol,30,56.5,1.4
 A3,2016,16000,Manual,33136,Petrol,30,60.1,1.4
 Q3,2015,19700,Automatic,19563,Diesel,160,50.4,2.0
 A1,2015,12000,Manual,35441,Diesel,0,80.7,1.6
 TT,2017,16484,Manual,23641,Petrol,145,47.1,1.8
 A1,2016,11533,Manual,16630,Petrol,30,55.4,1.4
 A3,2014,8244,Manual,86092,Diesel,0,74.3,1.6
 A8,2012,13437,Automatic,70894,Diesel,235,44.1,3.0
 A4,2013,14499,Automatic,29923,Diesel,200,47.1,2.0
 Q5,2017,18299,Manual,23221,Diesel,160,49.6,2.0
 A3,2016,16799,Manual,22633,Petrol,30,58.9,1.4
 A3,2015,11099,Manual,20997,Diesel,20,68.9,2.0
 Q3,2013,10799,Manual,42800,Diesel,145,54.3,2.0
 Q3,2014,12499,Manual,46621,Diesel,145,54.3,2.0
 A1,2015,8999,Manual,41183,Petrol,0,67.3,1.0
 A1,2017,10599,Manual,33723,Petrol,0,67.3,1.0
 A6,2014,14499,Automatic,45295,Diesel,30,64.2,2.0
 A3,2013,11699,Automatic,37274,Diesel,30,64.2,2.0
 A7,2016,18999,Automatic,56670,Diesel,125,61.4,3.0
 A1,2012,8275,Manual,56700,Diesel,20,68.9,2.0
 A3,2016,15749,Manual,25599,Petrol,30,55.4,1.4
 A3,2014,8499,Manual,32379,Diesel,0,74.3,1.6
 A4,2016,14399,Manual,40169,Diesel,0,72.4,2.0
 Q3,2015,12249,Manual,54775,Diesel,30,61.4,2.0
 TT,2015,16000,Manual,43724,Diesel,20,67.3,2.0
 Q3,2016,18799,Automatic,44900,Diesel,160,50.4,2.0
 A5,2014,12199,Automatic,62675,Diesel,125,57.6,3.0
 A6,2016,16700,Manual,28952,Diesel,30,64.2,2.0
 A7,2011,12999,Automatic,64675,Diesel,145,55.4,3.0
 A4,2017,17699,Manual,28078,Petrol,145,51.4,1.4
 A4,2016,15599,Automatic,28958,Diesel,20,70.6,2.0
 A3,2013,8899,Manual,62090,Diesel,20,67.3,2.0
 TT,2016,16749,Manual,32354,Diesel,30,62.8,2.0
 Q7,2016,31499,Automatic,50514,Diesel,200,47.9,3.0
 A1,2012,7175,Manual,65627,Diesel,0,74.3,1.6
 A6,2016,15600,Automatic,49462,Diesel,30,61.4,2.0
 Q5,2015,18499,Manual,33233,Diesel,200,47.9,2.0
 A5,2016,19499,Manual,22309,Diesel,145,56.5,2.0
 A1,2016,10233,Manual,40172,Petrol,0,67.3,1.0
 A5,2017,20999,Manual,11587,Diesel,145,67.3,2.0
 A8,2013,15316,Automatic,43903,Diesel,235,44.1,3.0
 Q5,2011,11795,Manual,66229,Diesel,200,42.1,2.0
 A3,2018,13999,Manual,19811,Diesel,145,70.6,1.6
 A1,2013,7799,Manual,35138,Petrol,125,53.3,1.4
 TT,2016,15299,Manual,39803,Petrol,145,47.1,1.8
 TT,2016,15299,Manual,30814,Petrol,145,47.1,1.8
 TT,2015,22299,Manual,19978,Petrol,235,38.7,2.0
 A3,2015,12999,Manual,32842,Diesel,30,67.3,1.6
 A3,2016,14999,Automatic,12396,Petrol,30,58.9,1.4
 A1,2018,14399,Manual,6605,Petrol,145,55.4,1.4
 Q5,2015,24499,Automatic,40510,Diesel,235,42.8,3.0
 Q5,2018,27549,Automatic,15123,Diesel,145,55.4,2.0
 TT,2016,16599,Manual,28064,Petrol,145,47.1,1.8
 A6,2016,12999,Automatic,77019,Diesel,145,47.9,2.0
 A3,2015,11299,Automatic,60438,Diesel,30,62.8,2.0
 A1,2013,9261,Manual,43157,Diesel,0,74.3,1.6
