model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A3,2019,19990,Semi-Auto,5199,Diesel,145,52.3,1.6
 Q7,2019,46990,Semi-Auto,3264,Diesel,145,33.6,3.0
 A3,2019,23995,Semi-Auto,2868,Diesel,145,52.3,1.6
 A4,2019,27990,Semi-Auto,6541,Diesel,145,47.9,2.0
 Q5,2019,36990,Semi-Auto,4511,Diesel,145,38.2,2.0
 Q5,2019,31998,Semi-Auto,30,Petrol,145,33.2,2.0
 Q5,2019,36995,Semi-Auto,5065,Diesel,145,38.2,2.0
 Q5,2019,36995,Semi-Auto,4638,Diesel,145,38.2,2.0
 A6,2019,33298,Semi-Auto,4899,Diesel,145,47.9,2.0
 A8,2019,39995,Semi-Auto,10090,Petrol,145,37.7,3.0
 Q2,2019,22663,Manual,3657,Diesel,145,49.6,1.6
 Q2,2019,24368,Manual,4502,Diesel,145,47.9,1.6
 A4,2020,38534,Semi-Auto,7521,Diesel,145,49.6,2.0
 A7,2019,41995,Semi-Auto,933,Diesel,145,45.6,2.0
 A3,2019,19990,Semi-Auto,6018,Diesel,145,52.3,1.6
 A3,2019,18495,Manual,11330,Petrol,145,42.8,1.5
 A5,2019,30709,Semi-Auto,4327,Petrol,145,39.8,2.0
 Q7,2019,48136,Semi-Auto,4813,Diesel,145,33.2,3.0
 Q2,2019,24365,Manual,3578,Diesel,145,47.9,1.6
 A6,2019,33295,Semi-Auto,4196,Diesel,145,47.9,2.0
 A3,2019,23995,Manual,2085,Diesel,145,51.4,1.6
 Q5,2019,37995,Semi-Auto,2712,Diesel,145,38.2,2.0
 A6,2019,33410,Semi-Auto,3968,Diesel,145,47.9,2.0
 Q2,2019,22997,Manual,6921,Petrol,145,47.1,1.0
 A5,2019,27990,Semi-Auto,7215,Diesel,145,46.3,2.0
 A6,2019,29990,Semi-Auto,5397,Diesel,145,50.4,2.0
 A3,2019,23377,Manual,4963,Petrol,145,42.8,1.5
 A4,2019,26490,Semi-Auto,4836,Diesel,145,48.7,2.0
 A5,2019,34259,Manual,4587,Petrol,145,37.2,2.0
 A5,2019,35131,Manual,5721,Petrol,145,37.2,2.0
 Q7,2019,50414,Semi-Auto,4236,Diesel,145,33.2,3.0
 A6,2019,30990,Semi-Auto,10852,Diesel,145,47.9,2.0
 A3,2019,18490,Manual,10059,Petrol,145,43.5,1.5
 A3,2019,18490,Manual,5985,Petrol,145,43.5,1.5
 A4,2019,26490,Semi-Auto,6214,Petrol,145,38.7,2.0
 RS5,2019,59995,Semi-Auto,5089,Petrol,145,30.1,2.9
 Q2,2019,24995,Manual,2756,Petrol,145,42.2,1.0
 A6,2019,29490,Semi-Auto,4982,Diesel,145,47.9,2.0
 RS5,2019,58995,Semi-Auto,3382,Petrol,145,30.1,2.9
 A6,2019,33640,Semi-Auto,5023,Diesel,145,47.9,2.0
 A6,2019,53939,Semi-Auto,6238,Diesel,145,37.7,3.0
 A5,2019,30719,Semi-Auto,4520,Petrol,145,39.8,2.0
 A5,2019,30197,Semi-Auto,5210,Petrol,145,39.8,2.0
 A5,2019,27022,Semi-Auto,3256,Petrol,145,40.4,2.0
 A4,2019,37560,Semi-Auto,5201,Diesel,145,44.1,2.0
 Q7,2019,49990,Semi-Auto,28,Diesel,145,33.6,3.0
 A5,2019,30728,Semi-Auto,5712,Diesel,145,51.4,2.0
 Q2,2019,25995,Manual,1592,Petrol,145,39.2,1.5
 Q8,2019,48995,Semi-Auto,4488,Diesel,145,33.6,3.0
 A3,2019,24998,Semi-Auto,6266,Petrol,145,38.2,2.0
 Q2,2019,25998,Semi-Auto,79,Diesel,150,46.3,2.0
 A3,2019,31795,Semi-Auto,3036,Petrol,145,34.5,2.0
 A4,2019,39995,Semi-Auto,2703,Diesel,145,40.9,3.0
 A5,2019,24498,Semi-Auto,50,Petrol,145,40.4,2.0
 A1,2019,23995,Manual,3232,Petrol,145,50.4,1.0
 A3,2019,18995,Semi-Auto,10522,Petrol,145,43.5,1.5
 Q2,2019,23995,Automatic,5859,Diesel,145,47.9,1.6
 A4,2019,37995,Automatic,8235,Diesel,145,44.1,2.0
 Q3,2019,35995,Manual,5356,Diesel,145,40.9,2.0
 A6,2019,34995,Automatic,5565,Diesel,145,47.9,2.0
 Q2,2019,26495,Manual,2940,Petrol,145,39.2,1.5
 A8,2020,52995,Semi-Auto,1100,Diesel,145,40.4,3.0
 RS4,2020,69995,Semi-Auto,2200,Petrol,145,28.8,2.9
 A7,2020,51995,Semi-Auto,500,Diesel,145,38.7,3.0
 Q5,2019,36995,Semi-Auto,4125,Diesel,145,38.2,2.0
 Q3,2019,34995,Semi-Auto,4000,Petrol,145,31.7,2.0
 Q5,2019,38495,Semi-Auto,5123,Diesel,145,38.2,2.0
 A4,2019,43495,Automatic,5000,Diesel,145,40.9,3.0
 A5,2019,34995,Automatic,6500,Diesel,145,46.3,2.0
 Q5,2019,36995,Automatic,11565,Diesel,145,38.2,2.0
 A3,2019,22995,Automatic,10434,Petrol,145,42.2,1.5
 Q5,2019,35995,Automatic,7256,Diesel,145,38.2,2.0
 A4,2019,25995,Manual,7422,Petrol,145,39.2,2.0
 Q3,2019,38995,Semi-Auto,5454,Petrol,145,30.7,2.0
 A3,2019,19995,Manual,12785,Petrol,145,42.8,1.5
 A6,2019,42995,Automatic,7486,Diesel,145,39.2,3.0
 A5,2019,36995,Automatic,9256,Diesel,145,45.6,2.0
 A4,2019,29995,Automatic,13690,Diesel,145,47.9,2.0
 Q5,2019,34995,Automatic,6400,Diesel,145,38.2,2.0
 A3,2019,19495,Manual,3265,Petrol,145,47.1,1.0
 A4,2020,29995,Semi-Auto,100,Petrol,150,39.2,2.0
 RS4,2019,52995,Semi-Auto,8503,Diesel,150,33.6,2.9
 Q2,2019,28995,Semi-Auto,1296,Petrol,150,34.5,2.0
 A6,2019,25998,Semi-Auto,19118,Diesel,145,47.9,2.0
 Q3,2019,38995,Semi-Auto,4436,Petrol,150,32.1,2.0
 Q8,2019,83995,Semi-Auto,5978,Diesel,150,30.7,4.0
 A1,2019,19995,Manual,2235,Petrol,150,49.6,1.0
 Q5,2019,35995,Automatic,7093,Diesel,145,38.2,2.0
 Q2,2020,35495,Semi-Auto,1934,Petrol,145,32.5,2.0
 A4,2019,28995,Semi-Auto,4708,Diesel,145,49.6,2.0
 Q3,2019,38995,Automatic,4304,Diesel,145,37.7,2.0
 A1,2019,23995,Semi-Auto,1952,Petrol,145,44.1,1.0
 A6,2019,41995,Semi-Auto,8060,Diesel,145,37.7,3.0
 Q2,2019,22495,Manual,1000,Diesel,145,49.6,1.6
 A3,2019,21995,Automatic,5450,Petrol,145,44.8,1.5
 Q2,2019,29809,Automatic,1000,Diesel,145,46.3,2.0
 A5,2019,31995,Automatic,1000,Petrol,145,40.4,2.0
 Q5,2019,31500,Automatic,3185,Diesel,145,39.2,2.0
 Q5,2019,30995,Automatic,8744,Diesel,145,39.2,2.0
 A6,2019,32250,Automatic,238,Diesel,145,47.9,2.0
 A5,2019,31695,Automatic,4693,Diesel,145,47.1,2.0
 Q5,2019,33995,Semi-Auto,6412,Diesel,145,39.2,2.0
 A6,2019,32494,Automatic,2394,Diesel,145,50.4,2.0
 Q5,2019,36202,Automatic,1000,Diesel,145,39.2,2.0
 Q5,2019,37395,Automatic,1000,Diesel,145,38.2,2.0
 A6,2019,31000,Automatic,1000,Diesel,145,50.4,2.0
 A4,2019,26495,Manual,6768,Diesel,145,74.3,2.0
 A4,2019,23995,Automatic,5363,Petrol,145,39.8,2.0
 A7,2019,42500,Automatic,4288,Diesel,145,38.2,3.0
 A5,2019,29000,Semi-Auto,6452,Petrol,145,40.4,2.0
 A7,2019,41495,Automatic,6112,Diesel,145,38.7,3.0
 A4,2019,25995,Semi-Auto,7447,Diesel,145,47.9,2.0
 Q5,2019,35995,Automatic,4326,Diesel,145,38.2,2.0
 Q7,2019,49995,Automatic,5558,Diesel,145,33.6,3.0
 A6,2019,31500,Automatic,2408,Diesel,145,50.4,2.0
 Q2,2019,23995,Manual,4430,Petrol,145,40.9,1.5
 Q2,2019,23374,Manual,1000,Diesel,145,49.6,1.6
 Q2,2019,22495,Manual,1000,Diesel,145,49.6,1.6
 A5,2019,27995,Semi-Auto,21480,Diesel,145,48.7,2.0
 A6,2019,46000,Automatic,6606,Diesel,145,36.2,3.0
 A4,2019,24998,Semi-Auto,12853,Petrol,145,38.2,2.0
 A4,2019,24998,Semi-Auto,13009,Petrol,145,38.2,2.0
 Q2,2019,25998,Semi-Auto,17,Diesel,145,46.3,2.0
 A4,2019,18998,Manual,2069,Petrol,145,41.5,2.0
 A5,2019,25998,Semi-Auto,24608,Petrol,145,39.8,2.0
 Q3,2019,29695,Automatic,8849,Diesel,145,47.1,2.0
 A1,2019,20350,Manual,2065,Petrol,145,46.3,1.5
 Q2,2019,31888,Semi-Auto,3481,Petrol,150,33.2,2.0
 A3,2019,19995,Manual,7307,Diesel,145,51.4,1.6
 Q2,2019,22995,Automatic,2402,Diesel,145,47.9,1.6
 Q3,2019,29995,Automatic,4384,Petrol,145,38.2,1.5
 Q2,2019,28495,Automatic,1442,Petrol,145,40.9,1.5
 Q3,2019,30995,Manual,4173,Diesel,145,40.9,2.0
 A3,2019,33995,Semi-Auto,3243,Petrol,145,34.5,2.0
 Q2,2019,28495,Automatic,3381,Petrol,145,40.9,1.5
 A3,2019,23495,Automatic,7378,Diesel,145,52.3,1.6
 A1,2019,24495,Semi-Auto,4634,Petrol,145,40.9,2.0
 Q3,2019,34995,Automatic,7126,Petrol,145,32.1,2.0
 A1,2020,20990,Manual,556,Petrol,145,47.9,1.0
 Q3,2020,33444,Semi-Auto,1904,Petrol,145,31.4,2.0
 Q3,2020,30888,Semi-Auto,525,Petrol,145,40.9,1.5
 A3,2020,31990,Semi-Auto,2165,Hybrid,135,141.3,1.4
 A1,2020,20888,Manual,1500,Petrol,145,47.9,1.0
 A1,2019,21490,Manual,1565,Petrol,145,47.9,1.0
 A3,2019,21488,Manual,6350,Diesel,145,54.3,2.0
 A3,2019,21288,Manual,4538,Diesel,145,51.4,1.6
 A3,2019,21288,Manual,6238,Diesel,145,51.4,1.6
 A3,2019,22888,Semi-Auto,6018,Petrol,145,40.9,2.0
 Q2,2019,28888,Semi-Auto,4201,Petrol,145,33.2,2.0
 A3,2019,21888,Manual,5150,Diesel,145,52.3,1.6
 Q5,2020,38888,Semi-Auto,1986,Diesel,145,38.2,2.0
 Q2,2020,24444,Manual,4265,Petrol,145,43.5,1.5
 Q3,2020,39888,Semi-Auto,1765,Petrol,145,31.0,2.0
 Q2,2020,33000,Semi-Auto,820,Petrol,145,32.5,2.0
 Q3,2020,33444,Semi-Auto,4846,Petrol,145,31.4,2.0
 Q3,2020,33444,Semi-Auto,475,Petrol,145,31.4,2.0
 Q3,2020,33444,Semi-Auto,425,Petrol,145,31.4,2.0
 A6,2019,37000,Semi-Auto,2271,Petrol,145,34.0,2.0
 Q2,2019,25444,Semi-Auto,4917,Petrol,145,40.9,1.5
 Q2,2019,26995,Semi-Auto,6070,Petrol,145,40.9,1.5
 Q2,2019,23995,Automatic,7945,Diesel,145,47.9,1.6
 Q2,2019,24888,Manual,3897,Petrol,145,39.2,1.5
 A3,2019,21450,Automatic,5793,Diesel,145,52.3,1.6
 Q2,2019,28495,Semi-Auto,2145,Diesel,145,46.3,2.0
 A3,2019,34995,Semi-Auto,1054,Petrol,145,34.5,2.0
 A4,2019,30995,Automatic,4598,Petrol,145,38.2,2.0
 A1,2019,23495,Manual,1041,Petrol,145,45.6,1.5
 Q3,2019,40995,Automatic,9029,Petrol,145,31.4,2.0
 A1,2019,20500,Semi-Auto,5676,Petrol,145,47.1,1.0
 Q5,2019,36888,Semi-Auto,3263,Diesel,145,38.2,2.0
 Q5,2019,34998,Semi-Auto,44,Petrol,145,32.1,2.0
 Q3,2019,30543,Semi-Auto,13433,Petrol,145,31.7,2.0
 A4,2019,26588,Semi-Auto,5130,Petrol,145,38.7,2.0
 Q3,2019,26846,Manual,2362,Diesel,145,42.8,2.0
 Q2,2019,20498,Semi-Auto,7779,Diesel,150,47.9,1.6
 A3,2019,19888,Automatic,8274,Petrol,145,45.6,1.0
 Q5,2019,35995,Semi-Auto,4770,Diesel,145,38.2,2.0
 Q3,2019,36497,Automatic,1000,Diesel,145,47.1,2.0
 A6,2019,30864,Semi-Auto,1000,Diesel,145,47.9,2.0
 Q2,2019,20498,Semi-Auto,5662,Diesel,145,47.9,1.6
 A4,2019,22288,Manual,5654,Petrol,145,39.2,2.0
 A5,2019,28990,Semi-Auto,3065,Petrol,145,39.8,2.0
 Q5,2019,31998,Semi-Auto,100,Petrol,145,33.2,2.0
 A6,2019,30861,Automatic,1000,Diesel,145,47.9,2.0
 Q2,2019,26508,Manual,15,Petrol,145,40.9,1.5
 A1,2019,26011,Semi-Auto,1000,Petrol,145,44.1,1.0
 Q2,2019,28062,Manual,1000,Petrol,145,43.5,1.5
 A6,2019,32098,Automatic,1000,Diesel,145,50.4,2.0
 A4,2019,22490,Manual,1342,Petrol,145,39.2,2.0
 A4,2019,41888,Semi-Auto,6536,Diesel,145,39.8,3.0
 Q5,2020,58990,Semi-Auto,2396,Diesel,145,32.5,3.0
 A6,2019,31288,Semi-Auto,2021,Diesel,145,47.9,2.0
 Q3,2020,37888,Semi-Auto,2553,Petrol,145,30.7,2.0
 Q2,2019,22698,Manual,9525,Petrol,145,40.9,1.5
 Q2,2019,22495,Manual,1000,Diesel,145,49.6,1.6
 A4,2019,33245,Semi-Auto,2529,Diesel,150,47.9,2.0
 Q2,2019,22995,Semi-Auto,3049,Petrol,150,43.5,1.5
 A6,2019,45995,Semi-Auto,7461,Diesel,150,37.7,3.0
 Q2,2019,23888,Manual,1886,Petrol,145,40.9,1.5
 Q3,2019,32500,Automatic,4432,Petrol,145,31.4,2.0
 Q7,2019,40495,Semi-Auto,8391,Diesel,150,33.6,3.0
 A3,2019,22991,Semi-Auto,12472,Petrol,150,42.2,1.5
 Q2,2019,23496,Manual,2891,Petrol,145,43.5,1.0
 Q2,2019,21756,Manual,3486,Petrol,145,45.6,1.0
 A6,2019,32996,Automatic,7098,Diesel,145,39.8,3.0
 Q3,2020,33591,Semi-Auto,4455,Petrol,150,39.2,1.5
 Q2,2020,27591,Semi-Auto,4455,Diesel,150,44.8,2.0
 A3,2019,24990,Automatic,4444,Petrol,145,43.5,1.5
 A6,2019,32000,Automatic,4432,Diesel,145,47.9,2.0
 A1,2019,19751,Manual,5432,Petrol,145,47.9,1.0
 A4,2019,27444,Automatic,5432,Diesel,145,47.1,2.0
 A4,2019,35888,Automatic,5432,Petrol,145,36.2,2.0
 A3,2019,21996,Manual,2578,Diesel,145,51.4,1.6
 A1,2019,19990,Manual,5432,Petrol,145,47.9,1.0
 TT,2019,30766,Semi-Auto,5154,Petrol,145,37.2,2.0
 Q2,2019,23896,Semi-Auto,8654,Petrol,145,40.9,1.5
 Q2,2020,34251,Semi-Auto,4433,Petrol,150,32.5,2.0
 Q3,2020,31990,Semi-Auto,4432,Petrol,150,40.4,1.5
 A1,2020,25888,Semi-Auto,5432,Petrol,150,44.8,1.5
 A6,2019,27795,Automatic,1282,Diesel,145,47.9,2.0
 A6,2019,29995,Automatic,4985,Diesel,145,50.4,2.0
 Q2,2020,25990,Manual,4432,Petrol,150,43.5,1.5
 A4,2019,43990,Semi-Auto,5505,Diesel,150,40.4,3.0
 A1,2020,25491,Semi-Auto,5432,Petrol,150,44.8,1.5
 TT,2020,29000,Semi-Auto,2301,Petrol,150,40.9,2.0
 Q2,2019,19751,Manual,5249,Diesel,145,49.6,1.6
 Q2,2019,23756,Semi-Auto,2493,Diesel,145,47.9,2.0
 Q2,2019,22444,Manual,4691,Diesel,145,47.9,1.6
 A3,2019,24990,Semi-Auto,5432,Petrol,145,44.1,1.5
 Q2,2019,26444,Semi-Auto,4077,Petrol,145,42.2,1.5
 Q2,2019,23751,Manual,3786,Petrol,145,43.5,1.5
 Q2,2019,25888,Automatic,4444,Petrol,145,42.2,1.5
 Q3,2019,37888,Automatic,4432,Petrol,145,30.7,2.0
 Q3,2019,35896,Semi-Auto,4444,Petrol,145,30.7,2.0
 A4,2019,39996,Automatic,12335,Diesel,145,40.4,3.0
 A6,2019,38444,Semi-Auto,5432,Petrol,150,34.0,2.0
 Q7,2019,45251,Semi-Auto,17003,Diesel,150,32.8,3.0
 A5,2019,34444,Semi-Auto,5432,Petrol,150,36.7,2.0
 A1,2019,23444,Semi-Auto,5432,Petrol,145,44.8,1.0
 Q3,2019,26990,Manual,1496,Diesel,145,42.8,2.0
 A3,2019,23888,Automatic,4444,Petrol,145,44.1,1.5
 Q8,2019,56996,Automatic,8787,Diesel,145,32.8,3.0
 A5,2019,32444,Automatic,5432,Diesel,145,45.6,2.0
 Q3,2019,32888,Automatic,4432,Petrol,145,31.4,2.0
 A3,2019,23888,Manual,4321,Petrol,145,44.1,1.5
 Q2,2019,24496,Semi-Auto,3402,Petrol,145,40.9,1.5
 A3,2020,34991,Semi-Auto,4432,Petrol,150,34.5,2.0
 A3,2019,17756,Semi-Auto,5432,Diesel,145,54.3,1.6
 Q2,2019,19991,Manual,4538,Petrol,145,47.1,1.0
 A3,2019,18696,Manual,4567,Petrol,145,44.8,1.5
 A3,2019,23256,Semi-Auto,3434,Diesel,145,51.4,2.0
 Q2,2019,26888,Automatic,2197,Diesel,145,47.9,2.0
 Q2,2019,20251,Manual,985,Diesel,145,49.6,1.6
 A4,2019,27444,Automatic,6458,Diesel,145,47.1,2.0
 Q5,2019,44990,Automatic,6565,Hybrid,135,117.7,2.0
 A1,2019,22444,Manual,5432,Petrol,145,47.9,1.0
 A1,2019,21251,Manual,5432,Petrol,145,47.9,1.0
 Q8,2020,84496,Automatic,3522,Diesel,145,30.7,4.0
 Q2,2020,24444,Manual,4432,Petrol,145,43.5,1.5
 Q5,2020,53990,Semi-Auto,4433,Diesel,145,34.5,3.0
 Q3,2020,32881,Semi-Auto,4432,Petrol,145,39.2,1.5
 A1,2020,25491,Semi-Auto,5432,Petrol,145,44.8,1.5
 A3,2020,35991,Semi-Auto,4433,Petrol,145,34.9,2.0
 A7,2019,49496,Semi-Auto,2055,Diesel,150,35.8,3.0
 Q2,2019,19991,Manual,3358,Petrol,145,47.1,1.0
 Q3,2020,32444,Semi-Auto,4432,Petrol,145,31.4,2.0
 Q5,2019,35496,Automatic,4567,Diesel,145,38.2,2.0
 Q5,2019,31496,Automatic,4567,Diesel,145,38.2,2.0
 Q3,2019,33888,Automatic,2590,Petrol,145,31.4,2.0
 Q2,2019,23756,Manual,4321,Petrol,145,43.5,1.5
 Q3,2019,32500,Semi-Auto,4444,Diesel,145,38.7,2.0
 A4,2019,25999,Automatic,5432,Diesel,145,50.4,2.0
 Q3,2019,32500,Automatic,4432,Petrol,145,31.4,2.0
 Q5,2019,38000,Semi-Auto,4433,Petrol,145,32.1,2.0
 A4,2019,46888,Automatic,3988,Diesel,145,39.2,3.0
 A6,2019,29896,Semi-Auto,3411,Diesel,145,47.9,2.0
 Q2,2020,24444,Manual,4432,Petrol,145,43.5,1.5
 Q5,2020,37888,Semi-Auto,4343,Petrol,145,32.1,2.0
 Q3,2020,32444,Semi-Auto,1445,Petrol,145,31.4,2.0
 A5,2020,28991,Semi-Auto,5432,Diesel,145,51.4,2.0
 Q3,2020,33491,Semi-Auto,4444,Petrol,145,39.2,1.5
 Q3,2020,32881,Semi-Auto,4432,Petrol,145,39.2,1.5
 Q3,2020,33881,Semi-Auto,4432,Petrol,145,31.4,2.0
 A4,2020,30990,Semi-Auto,4454,Petrol,145,38.2,2.0
 Q2,2019,19991,Manual,6190,Petrol,145,47.1,1.0
